Movie Name,URL,Domestic Box Office 
At-Eternity's-Gate,https://www.the-numbers.com/movie/At-Eternitys-Gate#tab=box-office,"2,294,917"
Bohemian-Rhapsody,https://www.the-numbers.com/movie/Bohemian-Rhapsody-(2018)#tab=box-office,"216,303,339"
Green-Book,https://www.the-numbers.com/movie/Green-Book-(2018)#tab=box-office,"85,080,171"
The-Wife,https://www.the-numbers.com/movie/Wife-The-(2018)#tab=box-office,"9,599,982"
The-Favourite,https://www.the-numbers.com/movie/Favourite-The-(2018)#tab=box-office,"34,366,783"
Can-You-Ever-Forgive-Me?,https://www.the-numbers.com/movie/Can-You-Ever-Forgive-Me?#tab=box-office,"8,803,865"
BlacKkKlansman,https://www.the-numbers.com/movie/BlacKkKlansman#tab=box-office,"49,275,340"
Cold-War,https://www.the-numbers.com/movie/Cold-War#tab=box-office,"4,580,048"
Black-Panther,https://www.the-numbers.com/movie/Black-Panther#tab=box-office,"700,059,566"
If-Beale-Street-Could-Talk,https://www.the-numbers.com/movie/If-Beale-Street-Could-Talk#tab=box-office,"14,915,773"
First-Reformed,https://www.the-numbers.com/movie/First-Reformed#tab=box-office,"3,448,256"
Pain-and-Glory,https://www.the-numbers.com/movie/Dolor-y-gloria-(Spain)-(2019)#tab=box-office,"4,567,338"
Joker,https://www.the-numbers.com/movie/Joker#tab=box-office,"169,181"
Harriet,https://www.the-numbers.com/movie/Harriet-(2019)#tab=box-office,"43,082,155"
Bombshell,https://www.the-numbers.com/movie/Bombshell#tab=box-office,"31,762,808"
Judy,https://www.the-numbers.com/movie/Judy-(2019)#tab=box-office,"24,319,961"
The-Irishman,https://www.the-numbers.com/movie/Irishman-The#tab=box-office,"968,853"
Ford-v-Ferrari,https://www.the-numbers.com/movie/Ford-v-Ferrari#tab=box-office,"117,624,357"
Jojo-Rabbit,https://www.the-numbers.com/movie/Jojo-Rabbit-(Germany)-(2019)#tab=box-office,"33,370,906"
Sound-of-Metal,https://www.the-numbers.com/movie/Sound-of-Metal#tab=box-office,"516,520"
The-Father,https://www.the-numbers.com/movie/Father-The-(UK)#tab=box-office,"2,120,992"
Mank,https://www.the-numbers.com/movie/Mank#tab=box-office,"122,572"
Minari,https://www.the-numbers.com/movie/Minari#tab=box-office,"2,964,816"
Nomadland,https://www.the-numbers.com/movie/Nomadland#tab=box-office,"3,700,000"
Promising-Young-Woman,https://www.the-numbers.com/movie/Promising-Young-Woman#tab=box-office,"6,460,965"
Another-Round,https://www.the-numbers.com/movie/Druk-(Denmark)#tab=box-office,"44,205"
Judas-and-the-Black-Messiah,https://www.the-numbers.com/movie/Judas-and-the-Black-Messiah#tab=box-office,"5,478,009"
The-Trial-of-the-Chicago-7,https://www.the-numbers.com/movie/Trial-of-the-Chicago-7-The#tab=box-office,"115,709"
King-Richard,https://www.the-numbers.com/movie/King-Richard-(2020)#tab=box-office,"15,138,334"
The-Eyes-of-Tammy-Faye,https://www.the-numbers.com/movie/Eyes-of-Tammy-Faye-The#tab=box-office,"1,029,591"
The-Lost-Daughter,https://www.the-numbers.com/movie/Lost-Daughter-The#tab=box-office,"703,281"
Parallel-Mothers,https://www.the-numbers.com/movie/Madres-paralelas-(2021-Spain)#tab=box-office,"2,297,501"
Spencer,https://www.the-numbers.com/movie/Spencer-(2021-United-Kingdom)#tab=box-office,"7,086,632"
Belfast,https://www.the-numbers.com/movie/Belfast-(2021-United-Kingdom)#tab=box-office,"9,250,870"
Drive-My-Car,https://www.the-numbers.com/movie/Doraibu-mai-ka-(2021-Japan)#tab=box-office,"2,352,240"
Licorice-Pizza,https://www.the-numbers.com/movie/Licorice-Pizza-(2021)#tab=box-office,"17,318,007"
West-Side-Story,https://www.the-numbers.com/movie/West-Side-Story#tab=box-office,"43,700,000"
Dune,https://www.the-numbers.com/movie/Dune#tab=box-office,"27,961,341"
Nightmare-Alley,https://www.the-numbers.com/movie/Nightmare-Alley#tab=box-office,"11,338,107"
The-Worst-Person-in-the-World,https://www.the-numbers.com/movie/Verdens-verste-menneske-(2021-Norway)#tab=box-office,"3,034,775"
